start_ts,weather_conditions,duration_seconds
11/11/17 16:00,Good,2040
11/4/17 14:00,Good,3300
11/4/17 17:00,Bad,2760
11/11/17 16:00,Good,2400
11/11/17 6:00,Good,1320
11/11/17 7:00,Good,1440
11/11/17 12:00,Good,1620
11/11/17 6:00,Good,1095
11/4/17 12:00,Good,2929
11/11/17 16:00,Good,2310
11/11/17 8:00,Good,1364
11/4/17 8:00,Good,1299
11/11/17 8:00,Good,1200
11/18/17 8:00,Bad,1260
11/11/17 11:00,Good,2032
11/11/17 9:00,Good,1316
11/18/17 7:00,Bad,1454
11/11/17 12:00,Good,1909
11/11/17 9:00,Good,1494
11/11/17 10:00,Good,1529
11/11/17 16:00,Good,2548
11/18/17 21:00,Bad,1748
11/11/17 12:00,Good,1993
11/11/17 16:00,Good,2400
11/4/17 17:00,Bad,2280
11/11/17 17:00,Good,2089
11/25/17 12:00,Good,1646
11/11/17 14:00,Good,1980
11/4/17 8:00,Good,1406
11/18/17 13:00,Bad,3779
11/4/17 15:00,Good,3366
11/4/17 15:00,Good,3180
11/4/17 4:00,Good,1260
11/11/17 9:00,Good,1260
11/4/17 18:00,Bad,3060
11/11/17 7:00,Good,1380
11/11/17 14:00,Good,2220
11/4/17 14:00,Good,3000
11/11/17 7:00,Good,1395
11/4/17 14:00,Good,3982
11/4/17 11:00,Good,2657
11/11/17 15:00,Good,2454
11/4/17 9:00,Good,0
11/4/17 14:00,Good,3300
11/4/17 7:00,Good,1427
11/11/17 6:00,Good,1436
11/11/17 16:00,Good,2205
11/11/17 9:00,Good,1359
11/18/17 10:00,Bad,2083
11/18/17 11:00,Good,2312
11/4/17 17:00,Bad,2472
11/4/17 17:00,Bad,2580
11/11/17 14:00,Good,2287
11/18/17 12:00,Bad,2467
11/11/17 16:00,Good,2312
11/11/17 10:00,Good,1620
11/11/17 15:00,Good,2880
11/11/17 14:00,Good,2580
11/4/17 16:00,Bad,2820
11/11/17 14:00,Good,2464
11/4/17 11:00,Good,2640
11/4/17 16:00,Bad,2903
11/11/17 7:00,Good,1440
11/11/17 13:00,Good,2233
11/11/17 9:00,Good,1440
11/11/17 16:00,Good,2580
11/11/17 12:00,Good,2160
11/11/17 17:00,Good,2310
11/11/17 8:00,Good,1500
11/25/17 10:00,Good,1680
11/11/17 10:00,Good,1440
11/11/17 8:00,Good,1440
11/25/17 11:00,Good,1680
11/4/17 8:00,Good,1440
11/4/17 7:00,Good,1440
11/4/17 16:00,Bad,3180
11/11/17 10:00,Good,1200
11/11/17 7:00,Good,1348
11/4/17 17:00,Bad,2520
11/11/17 14:00,Good,2274
11/4/17 12:00,Good,3292
11/11/17 11:00,Good,1740
11/4/17 12:00,Good,2520
11/4/17 20:00,Good,1462
11/11/17 19:00,Good,1916
11/4/17 11:00,Good,2456
11/11/17 8:00,Good,1200
11/11/17 6:00,Good,1380
11/18/17 6:00,Good,1405
11/4/17 14:00,Good,3482
11/18/17 8:00,Bad,1313
11/25/17 11:00,Good,1265
11/11/17 7:00,Good,1320
11/18/17 16:00,Bad,3120
11/11/17 8:00,Good,1380
11/11/17 12:00,Good,1500
11/11/17 10:00,Good,1500
11/18/17 5:00,Good,1311
11/25/17 17:00,Good,2580
11/4/17 10:00,Good,1740
